step,temp,weight,cost,best_weight,sat_clauses,sat_clauses_best
649,254791,2796,-2290,4092,65,66
650,254791,2993,-2093,4092,64,66
651,254791,2796,-2290,4092,65,66
652,254791,3053,-2033,4092,63,66
653,254791,2867,-2219,4092,64,66
654,254791,2885,-2201,4092,64,66
655,254791,3082,-2004,4092,63,66
656,254791,3290,-1796,4092,63,66
657,254791,3476,-1610,4092,63,66
658,254791,3219,-1867,4092,67,66
659,254791,3035,-2051,4092,67,66
660,254791,2849,-2237,4092,67,66
661,254791,3297,-1789,4092,69,66
662,254791,2820,-2266,4092,66,66
663,254791,2623,-2463,4092,65,66
664,254791,3100,-1986,4092,68,66
665,254791,2892,-2194,4092,68,66
666,254791,2444,-2642,4092,69,66
667,254791,2426,-2660,4092,67,66
668,254791,2177,-2909,4092,67,66
669,254791,1885,-3201,4092,67,66
670,254791,2112,-2974,4092,66,66
671,254791,2585,-2501,4092,69,66
672,254791,2842,-2244,4092,69,66
673,254791,3290,-1796,4092,70,66
674,254791,3063,-2023,4092,70,66
675,254791,3249,-1837,4092,69,66
676,254791,2979,-2107,4092,69,66
677,254791,2997,-2089,4092,67,66
678,254791,3060,-2026,4092,65,66
679,254791,3232,-1854,4092,65,66
680,254791,2755,-2331,4092,62,66
681,254791,2952,-2134,4092,62,66
682,254791,2479,-2607,4092,61,66
683,254791,2479,-2607,4092,61,66
684,254791,2956,-2130,4092,63,66
685,254791,3183,-1903,4092,62,66
686,254791,2997,-2089,4092,64,66
687,254791,2520,-2566,4092,61,66
688,254791,2502,-2584,4092,62,66
689,254791,2686,-2400,4092,61,66
690,254791,2317,-2769,4092,60,66
691,254791,2060,-3026,4092,59,66
692,254791,1888,-3198,4092,60,66
693,254791,2365,-2721,4092,61,66
694,249695,2383,-2703,4092,60,66
695,249695,2320,-2766,4092,63,66
696,249695,2612,-2474,4092,65,66
697,249695,2594,-2492,4092,66,66
698,249695,2146,-2940,4092,65,66
699,249695,2164,-2922,4092,63,66
700,249695,2350,-2736,4092,61,66
701,249695,2823,-2263,4092,65,66
702,249695,2346,-2740,4092,63,66
703,249695,2160,-2926,4092,65,66
704,249695,1868,-3218,4092,63,66
705,249695,1395,-3691,4092,60,66
706,249695,1652,-3434,4092,58,66
707,249695,2129,-2957,4092,59,66
708,249695,2577,-2509,4092,62,66
709,249695,2559,-2527,4092,63,66
710,249695,2731,-2355,4092,64,66
711,249695,3204,-1882,4092,66,66
712,249695,3431,-1655,4092,67,66
713,249695,3204,-1882,4092,66,66
714,249695,2731,-2355,4092,62,66
715,249695,2559,-2527,4092,61,66
716,249695,2786,-2300,4092,62,66
717,249695,2559,-2527,4092,63,66
718,249695,2829,-2257,4092,65,66
719,249695,2555,-2531,4092,63,66
720,249695,2763,-2323,4092,63,66
721,249695,3037,-2049,4092,65,66
722,249695,2853,-2233,4092,67,66
723,249695,2583,-2503,4092,66,66
724,249695,2769,-2317,4092,66,66
725,249695,3018,-2068,4092,66,66
726,249695,2791,-2295,4092,66,66
